app_no,license_type,application_date,status,fru_interview_scheduled,drug_test,wav_course,defensive_driving,driver_exam,medical_clearance_form,other_requirements,last_update,days_since_last_update
6079227,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079242,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079236,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079229,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079230,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079244,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079222,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079218,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079243,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079224,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079223,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079245,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079235,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
6079213,HDR,2024-07-30T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-30T17:00:04.000,0
