app_no,license_type,application_date,status,fru_interview_scheduled,drug_test,wav_course,defensive_driving,driver_exam,medical_clearance_form,other_requirements,last_update
6077577,HDR,2024-07-01T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6074264,HDR,2024-05-09T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6076085,HDR,2024-06-05T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6074499,HDR,2024-05-13T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6074076,HDR,2024-05-06T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6076618,HDR,2024-06-13T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078431,HDR,2024-07-16T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6077691,HDR,2024-07-02T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
6076339,HDR,2024-06-10T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6076386,HDR,2024-06-11T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed,2024-07-23T11:00:07.000
6077506,HDR,2024-06-29T00:00:00.000,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6078819,HDR,2024-07-23T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6076848,HDR,2024-06-18T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6076524,HDR,2024-06-12T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Copy of DMV license needed,2024-07-23T11:00:07.000
6076819,HDR,2024-06-18T00:00:00.000,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6077450,HDR,2024-06-28T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6078413,HDR,2024-07-16T00:00:00.000,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,2024-07-23T11:00:07.000
6076985,HDR,2024-06-20T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6077936,HDR,2024-07-08T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6076088,HDR,2024-06-05T00:00:00.000,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,2024-07-23T11:00:07.000
6077872,HDR,2024-07-07T00:00:00.000,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed,2024-07-23T11:00:07.000
6075255,HDR,2024-05-22T00:00:00.000,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,2024-07-23T11:00:07.000
